j5;j6;j7
;;
2;4;6
-2;-2;-4
3;6;8
-2;-2;-4
4;7;10
-2;-2;-5
5;8;12
-3;-3;-6
5;8;12
-3;-3;-6
5;9;13
-4;-4;-8
5;9;13
-4;-4;-8
6;11;15
-5;-5;-10
6;11;15
-5;-5;-10
6;12;18
-7;-7;-12
6;12;18
-7;-7;-12
6;13;20
-9;-9;-15
6;13;20
-9;-9;-15
7;14;22
-11;-11;-18
7;14;22
-11;-11;-18
7;14;22
-11;-11;-18
7;16;25
-13;-13;-21
7;16;25
-13;-13;-21
7;16;25
-13;-13;-21
7;16;26
-16;-16;-26
7;16;26
-16;-16;-26
7;18;29
-18;-18;-28
7;18;29
-18;-18;-28
7;20;31
-20;-20;-32
7;20;31
-20;-20;-32
